id|source|year|venue|title|decision
SD185|ScienceDirect|2025|Construction and Building Materials|Strength prediction of freeze-thaw geopolymer concrete considering pores characteristics: Experiment and three-dimensional meso-numerical simulation|EXCLUDE-EC3
SD186|ScienceDirect|2025|Separation and Purification Technology|Structural and functional design of CTAB-geopolymer adsorbents for rapid removal of tetracycline|EXCLUDE-EC5
SD187|ScienceDirect|2021|Composites Part B|Coupling machine learning with thermodynamic modelling to develop a composition-property model for alkali-activated materials|INCLUDE
SD188|ScienceDirect|2024|Engineering Fracture Mechanics|Dynamic evolution of crack fractal of polypropylene fiber reinforced geopolymer during flexural process|EXCLUDE-EC3
SD189|ScienceDirect|2026|Structures|A critical synthesis on the synergetic effect of hybrid fibers in enhancing concrete properties|EXCLUDE-EC2
SD190|ScienceDirect|2024|Materials Today Communications|Fresh state and strength performance evaluation of slag-based alkali-activated concrete using soft-computing methods|INCLUDE
SD191|ScienceDirect|2025|Canadian Geotechnical Journal|Role of calcined-clay-based geopolymers for effective stabilization of expansive soils|INCLUDE-FT
SD192|ScienceDirect|2020|Journal of Materials Research and Technology|Estimating strength properties of geopolymer self-compacting concrete using machine learning techniques|INCLUDE
SD193|ScienceDirect|2023|Journal of Cleaner Production|Data driven design of alkali-activated concrete using sequential learning|INCLUDE
SD194|ScienceDirect|2025|Structures|Determining equivalent rectangular stress block parameters in geopolymer concrete using multi-gene genetic algorithm-supported models and ML techniques|INCLUDE
SD195|ScienceDirect|2025|RSC Advances|Phosphoric acid based geopolymer foam-activated carbon composite for methylene blue adsorption|EXCLUDE-EC5
SD196|ScienceDirect|2023|Computers and Geotechnics|Mix design development for geopolymer treated expansive subgrades using artificial neural network|INCLUDE
SD197|ScienceDirect|2025|Journal of Building Engineering|3D printable cellulose concrete: a review and pathway to future research|CONTEXT-REVIEW
SD198|ScienceDirect|2023|Materials Today: Proceedings|Novel machine learning applications on fly ash based concrete: An overview|EXCLUDE-EC4
SD199|ScienceDirect|2021|Cement and Concrete Composites|Machine learning to predict properties of fresh and hardened alkali-activated concrete|INCLUDE
SD200|ScienceDirect|2022|Construction and Building Materials|Chemistry-informed machine learning prediction of compressive strength for alkali-activated materials|INCLUDE
SD201|ScienceDirect|2022|Construction and Building Materials|Determination of compressive strength of perlite-containing slag-based geopolymers and its prediction using ANN and regression-based methods|INCLUDE
SD202|ScienceDirect|2025|Structures|Freeze-thaw damage assessment of concrete based on surface morphology|EXCLUDE-EC2
SD203|ScienceDirect|2024|Journal of Environmental Chemical Engineering|Intelligent optimization for modeling carbon dioxide footprint in fly ash geopolymer concrete: A novel approach for minimizing CO2 emissions|INCLUDE
SD204|ScienceDirect|2025|Construction and Building Materials|Optimization of Fly ash-slag based geopolymer strength, cost, and carbon emissions using CNN-based RSM and NSGA-III|INCLUDE
SD205|ScienceDirect|2021|Ain Shams Engineering Journal|Sustainable use of fly-ash: Use of GEP and MEP for forecasting the compressive strength geopolymer concrete|INCLUDE
SD206|ScienceDirect|2022|Computational Materials Science|Application of back propagation neural network to the modeling of slump and compressive strength of composite geopolymers|INCLUDE
SD207|ScienceDirect|2025|Case Studies in Construction Materials|A comprehensive review on CO2 utilization in cement and concrete: From microstructural transformations to structural applications|CONTEXT-REVIEW
SD208|ScienceDirect|2021|Construction and Building Materials|Utilization of a novel artificial intelligence technique (ANFIS) to predict the compressive strength of fly ash-based geopolymer|INCLUDE
SD209|ScienceDirect|2021|Journal of Cleaner Production|Development of high performance sustainable optimized fiber reinforced geopolymer concrete and prediction of compressive strength|INCLUDE
SD210|ScienceDirect|2015|Computers and Geotechnics|Prediction of unconfined compressive strength of geopolymer stabilized clayey soil using Artificial Neural Network|INCLUDE
SD211|ScienceDirect|2024|Tunnelling and Underground Space Technology|Intelligent design and seawater mixing performance of new synchronous grouting materials in a pure-solid-waste framework|INCLUDE
SD212|ScienceDirect|2022|Chemosphere|Global interpretation and generalizability of boosted regression models for the prediction of methylene blue adsorption by clay minerals and alkali activated materials|EXCLUDE-EC5
SD213|ScienceDirect|2026|Journal of Environmental Chemical Engineering|Global trends and perspectives in soil stabilization/solidification technologies: bibliometric analysis|CONTEXT-REVIEW
SD214|ScienceDirect|2025|Journal of Building Engineering|Industrial waste in 3D printed concrete: A mechanistic review on rheological control and printability|CONTEXT-REVIEW
SD215|ScienceDirect|2013|Ceramics International|Predicting compressive strength of different geopolymers by artificial neural networks|INCLUDE
SD216|ScienceDirect|2019|Construction and Building Materials|Abrasion resistance behaviour of fly ash based geopolymer using nanoindentation and artificial neural network|INCLUDE
SD217|ScienceDirect|2021|Journal of Cleaner Production|Artificial neural network model to predict the compressive strength of eco-friendly geopolymer concrete incorporating silica fume and natural zeolite|INCLUDE
SD218|ScienceDirect|2026|Construction and Building Materials|Prediction of compressive strength loss rate in geopolymer composites under freeze-thaw cycles via machine learning|INCLUDE
SD219|ScienceDirect|2026|Construction and Building Materials|Optimizing porous geopolymer insulation materials using response surface methodology and machine learning|INCLUDE
SD220|ScienceDirect|2026|Developments in the Built Environment|Intelligent cost-optimized mix design prediction and engineered strength system for geopolymer concrete: A machine learning-based recommender system|INCLUDE
SD221|ScienceDirect|2026|Progress in Natural Science: Materials International|Machine learning prediction and mechanistic insights into coal-gangue-based geopolymers for heavy metal solidification and stabilization|INCLUDE
SD222|ScienceDirect|2018|Construction and Building Materials|Effects of fly ash characteristics and alkaline activator components on compressive strength of fly ash-based geopolymer mortar|EXCLUDE-EC3
SD223|ScienceDirect|2026|Next Materials|Advancing biodiesel production: A review of feedstocks, geopolymer catalysis, and applications of machine learning|EXCLUDE-EC5
SD224|ScienceDirect|2026|Next Research|AI-Assisted optimization of coconut-pith-reinforced fly-ash geopolymer composites: Integrating experimental design, machine learning, and Bayesian optimization|INCLUDE
SD225|ScienceDirect|2022|Materials Chemistry and Physics|Development of green photocatalytic geopolymers for dye removal|EXCLUDE-EC5
SD226|ScienceDirect|2022|Materials Today Communications|Properties prediction for self-compacting concrete incorporating activated fiber and stone chips|EXCLUDE-EC2
SD227|ScienceDirect|2026|Applications in Engineering Science|Machine learning-based prediction of geopolymer concrete compressive strength using boosting and SVR models|INCLUDE
SD228|ScienceDirect|2026|Materials Today Communications|Toward a glass-box framework: Interpretable and statistically validated machine learning for geopolymer concrete strength prediction|INCLUDE
SD229|ScienceDirect|2026|Next Materials|High-temperature mechanical performance and microstructural insights of polypropylene fiber-reinforced fly ash-slag geopolymer mortars|EXCLUDE-EC3
SD230|ScienceDirect|2025|Materials Today Communications|Prediction of compressive and flexural strength of coal gangue-based geopolymer using machine learning method|INCLUDE
SD231|ScienceDirect|2025|Case Studies in Construction Materials|Performance evaluation of geopolymer masonry units: A hybrid approach combining laboratory testing and AI modeling|INCLUDE
SD232|ScienceDirect|2026|Construction and Building Materials|Parametric insights into carbonate activated GGBS-FA geopolymer concrete incorporating recycled concrete aggregate through hybrid statistical machine learning|INCLUDE
SD233|ScienceDirect|2026|Next Materials|Data driven predictive analysis of hardened properties of sustainable geopolymer concrete developed by using fly ash and sugarcane bagasse ash using explainable AI|INCLUDE
SD234|ScienceDirect|2025|Developments in the Built Environment|Integrating obsidian and silica fume in geopolymer mortars: Strength prediction via meta-ensemble machine learning framework|INCLUDE
SD235|ScienceDirect|2024|Computers and Geotechnics|A generic framework for mix design of geopolymer for soil stabilization: Composition-informed machine learning model|INCLUDE
SD236|ScienceDirect|2026|Next Materials|ML driven classification and optimization of silica fume-polypropylene fiber induced geopolymer concrete using clustering and regression|INCLUDE
SD237|ScienceDirect|2022|Case Studies in Construction Materials|Compressive strength of geopolymer concrete modified with nano-silica: Experimental and modeling investigations|INCLUDE
SD238|ScienceDirect|2025|Case Studies in Construction Materials|Application of machine learning models for the optimisation of compressive strength and water resistance of geopolymer stabilised compacted earth|INCLUDE
SD239|ScienceDirect|2026|Construction and Building Materials|Bacillus megaterium-incorporated GGBS geopolymer mortar: Explainable ensemble machine learning, multi-objective optimization, and probabilistic reliability|INCLUDE
SD240|ScienceDirect|2026|Composite Structures|Novel hybrid machine learning framework for high-fidelity prediction of fly ash-based geopolymer concrete strength|INCLUDE
SD241|ScienceDirect|2026|Structures|Flexural performance of post-tensioned unbonded prestressed geopolymer concrete beams|EXCLUDE-EC3
SD242|ScienceDirect|2026|Structures|A novel robust model: Dimensionless ensemble machine learning to predict behavior of geopolymer concrete|INCLUDE
SD243|ScienceDirect|2026|Developments in the Built Environment|Upcycled geopolymer concrete incorporating GFRP waste powder: Sulfate resistance and machine learning-based strength prediction|INCLUDE
SD244|ScienceDirect|2026|CMES - Computer Modeling in Engineering and Sciences|Accurate Compressive Strength Prediction of Fly Ash Geopolymers Using Advanced Ensemble Models and Morris Analysis|INCLUDE
SD245|ScienceDirect|2025|Structures|Frost resistance of steel fiber geopolymer concrete studied via the machine learning method|INCLUDE
SD246|ScienceDirect|2025|Cleaner Engineering and Technology|Machine learning-driven optimization for predicting compressive strength in fly ash geopolymer concrete|INCLUDE
SD247|ScienceDirect|2025|Journal of Environmental Chemical Engineering|Predicting the adsorption capacity of geopolymers for heavy metals in solution based on machine learning|EXCLUDE-EC5
SD248|ScienceDirect|2025|Open Ceramics|Machine learning for the optimization of porosity-hygroscopy correlations of porous geopolymers in indoor thermal comfort|INCLUDE
SD249|ScienceDirect|2025|Results in Engineering|Prediction of compressive strength for geopolymer paste using bagging ensemble technique and experimental design|INCLUDE
SD250|ScienceDirect|2026|Procedia Computer Science|Generative Machine Learning Models for Geopolymer Concrete: Strength Prediction and Mixture Optimization|EXCLUDE-EC4
SD251|ScienceDirect|2026|Journal of Cleaner Production|Machine learning-driven multi-objective optimization and dynamic performance prediction of geopolymer concrete|INCLUDE
SD252|ScienceDirect|2024|Journal of Building Engineering|Analyzing the compressive strength of one-part geopolymers using experiment and machine learning approaches|INCLUDE
SD253|ScienceDirect|2024|Cleaner Materials|Using ensemble machine learning and metaheuristic optimization for modelling the elastic modulus of geopolymer concrete|INCLUDE
SD254|ScienceDirect|2025|Journal of Molecular Structure|Sustainable catalysts: Advances in geopolymer-catalyzed reactions and their applications|EXCLUDE-EC5
SD255|ScienceDirect|2026|Advanced Engineering Informatics|Interpretable AI-driven framework for sustainable modification of dredged sludge: A knowledge-guided approach to industrial waste-geopolymer binders design|INCLUDE
SD256|ScienceDirect|2023|Journal of Building Engineering|A novel framework for strength prediction of geopolymer mortar: Renovative precursor effect|INCLUDE
SD257|ScienceDirect|2026|Case Studies in Thermal Engineering|Experimental and machine learning-based analysis of encapsulated lauric acid in geopolymer composites for thermal energy storage|INCLUDE
SD258|ScienceDirect|2026|Journal of Building Engineering|Multi-objective optimization of mix design for geopolymer foam concrete with industrial solid wastes based on machine learning|INCLUDE
SD259|ScienceDirect|2025|Construction and Building Materials|Evaluating the compressive strength of industrial wastes-based geopolymer concrete with machine learning models|INCLUDE
SD260|ScienceDirect|2025|Construction and Building Materials|Filament geometry control of printable geopolymer using experimental and data driven approaches|INCLUDE
SD261|ScienceDirect|2026|Next Materials|Uncertainty-aware prediction intervals for compressive-strength estimation of geopolymer concrete|INCLUDE
SD262|ScienceDirect|2025|Results in Materials|Prediction and optimization of strength and CO2 emission for geopolymer concrete mix design using machine learning|INCLUDE
SD263|ScienceDirect|2024|Results in Materials|Temperature-dependent compressive strength modeling of geopolymer blocks utilizing glass powder and steel slag|INCLUDE
SD264|ScienceDirect|2024|Magazine of Concrete Research|Experimental and machine learning based study of compressive strength of geopolymer concrete|INCLUDE
SD265|ScienceDirect|2025|Applied Soft Computing|Machine learning-driven evaluation of carbon emissions in geopolymer concrete|INCLUDE
SD266|ScienceDirect|2025|Case Studies in Construction Materials|Production and optimization of affordable artificial geopolymer aggregates containing crumb rubber, plastic waste, and granulated cork|INCLUDE
SD267|ScienceDirect|2025|Structures|Developing a novel strength predictive modeling for 3D printable geopolymer concrete: An interpretable data-driven approach|INCLUDE
SD268|ScienceDirect|2026|Construction and Building Materials|Reliable extrapolation in geopolymer concrete strength prediction using episodic-enhanced tabular foundation models|INCLUDE
SD269|ScienceDirect|2025|Cleaner Waste Systems|Predicting the compressive strength of laterite blocks stabilized with metakaolin geopolymer and sugarcane molasses via machine learning|INCLUDE
SD270|ScienceDirect|2024|Construction and Building Materials|Predicting the compressive strength of engineered geopolymer composites using automated machine learning|INCLUDE
SD271|ScienceDirect|2025|International Journal of Hydrogen Energy|Boosting biohydrogen yield from cheese whey through machine learning|EXCLUDE-EC2
SD272|ScienceDirect|2024|Construction and Building Materials|Multi-performance optimization of low-carbon geopolymer considering mechanical, cost, and CO2 emission based on experiment and interpretable learning|INCLUDE
SD273|ScienceDirect|2024|Case Studies in Construction Materials|Comparative study on the prediction of the unconfined compressive strength of the one-part geopolymer stabilized soil using different hybrid machine learning|INCLUDE
SD274|ScienceDirect|2025|Sustainable Materials and Technologies|Performance and alkalinity control in geopolymer coral aggregate concrete via experiments and machine learning|INCLUDE
SD275|ScienceDirect|2024|Materials Today: Proceedings|Prediction of concrete's compressive strength using machine learning algorithms|EXCLUDE-EC4
SD276|ScienceDirect|2025|Structures|An interpretable machine learning approach with graphical user interface for strength prediction of sustainable slag-based geopolymer concrete|INCLUDE
SD277|ScienceDirect|2024|Journal of Building Engineering|Machine learning guided iterative mix design of geopolymer concrete|INCLUDE
SD278|ScienceDirect|2022|Construction and Building Materials|The data-driven research on bond strength between fly ash-based geopolymer concrete and reinforcing bars|INCLUDE
SD279|ScienceDirect|2025|Journal of Materials Research and Technology|Explicit gradient boosting machine for accurate compressive strength prediction of metakaolin-based geopolymer concrete|INCLUDE
SD280|ScienceDirect|2024|Materials Today Communications|Parametric analysis and prediction of geopolymerization process|INCLUDE
SD281|ScienceDirect|2024|Journal of Building Engineering|Surface reinforcement of recycled aggregates (RAs) by geopolymer and quantifying its morphological characteristics by machine learning|INCLUDE
SD282|ScienceDirect|2025|Construction and Building Materials|ITZs characterization in full-component geopolymer recycled concrete based on quantitative BSE-EDS images and nanoindentation techniques|INCLUDE-FT
SD283|ScienceDirect|2025|Pedosphere|Data-driven model and probabilistic evaluation of heavy metal immobilization in geopolymer-treated municipal solid waste using tabular prior-data fitted network|INCLUDE
SD284|ScienceDirect|2021|Construction and Building Materials|Machine learning model for predicting the crack detection and pattern recognition of geopolymer concrete beams|INCLUDE
SD285|ScienceDirect|2026|Journal of Building Engineering|Review on interfacial bonding behavior between geopolymer concrete and OPC concrete substrate|CONTEXT-REVIEW
SD286|ScienceDirect|2022|Construction and Building Materials|Application of machine learning algorithm to assess the efficacy of varying industrial wastes and curing methods on strength development of geopolymer concrete|INCLUDE
SD287|ScienceDirect|2021|Cement and Concrete Composites|Predicting the geopolymerization process of fly ash-based geopolymer using deep long short-term memory and machine learning|INCLUDE
SD288|ScienceDirect|2025|Journal of Building Engineering|Compressive strength prediction and feature analysis for GGBS-Based geopolymer concrete using optimized XGBoost and SHAP|INCLUDE
SD289|ScienceDirect|2026|Structures|Experimental evaluation and prediction model for shear capacity of screw connectors in built-up cold-formed steel composite columns with geopolymer concrete|INCLUDE
SD290|ScienceDirect|2024|Journal of Building Engineering|AI-driven critical parameter optimization of sustainable self-compacting geopolymer concrete|INCLUDE
SD291|ScienceDirect|2024|Case Studies in Construction Materials|Synthesis of geopolymer mortar from biomass ashes and forecasting its compressive strength behaviour|INCLUDE
SD292|ScienceDirect|2026|Marine Environmental Research|Sustainability of corrosion-induced degradation of marine engineering structures: bibliometric analysis|INCLUDE-ADJUDICATED
SD293|ScienceDirect|2020|Materials Advances|Formulation of mix design for 3D printing of geopolymers: a machine learning approach|INCLUDE
SD294|ScienceDirect|2026|Journal of Environmental Chemical Engineering|Sustainable recycling of mining waste: A bibliometric analysis of global research trends|CONTEXT-REVIEW
SD295|ScienceDirect|2023|Construction and Building Materials|Effects of binder proportion and curing condition on the mechanical characteristics of volcanic ash- and slag-based geopolymer mortars; machine learning integrated|INCLUDE
SD296|ScienceDirect|2024|Construction and Building Materials|Investigation of machine learning models in predicting compressive strength for ultra-high-performance geopolymer concrete: A comparative study|INCLUDE
SD297|ScienceDirect|2023|Materials Today Communications|Influence of chemical constituents of binder and activator in predicting compressive strength of fly ash-based geopolymer concrete using firefly-optimized hybrid ensemble|INCLUDE
SD298|ScienceDirect|2025|Chemical Engineering Journal|CeNEP: A general-purpose machine learning interatomic potential for cementitious materials|CONTEXT-ADJACENT
SD299|ScienceDirect|2026|Automation in Construction|Automated construction of knowledge graphs for accelerated design and understanding of ultra-high-performance concrete|CONTEXT-ADJACENT
SD300|ScienceDirect|2025|Journal of Environmental Chemical Engineering|From waste to resource: Upcycling red mud as eco-friendly geopolymer for the circular economy|CONTEXT-REVIEW
SD301|ScienceDirect|2017|Ceramics International|Mix design factors and strength prediction of metakaolin-based geopolymer|INCLUDE
SD302|ScienceDirect|2024|Materials & Design|Effects of adding zeolite particles on the hierarchical microstructure of zeolite-geopolymer composites and their Sr2+ adsorption properties|EXCLUDE-EC5
SD303|ScienceDirect|2023|Journal of Building Engineering|Multi-objective optimization of fly ash-slag based geopolymer considering strength, cost and CO2 emission: A new framework based on tree-based ensemble models and NSGA-II|INCLUDE
SD304|ScienceDirect|2024|Journal of Cleaner Production|Influence of treated recycled concrete aggregate and modified mixing approach on the mechanical properties of ternary blend geopolymer concrete: Experiments and ML|INCLUDE
SD305|ScienceDirect|2023|Journal of Building Engineering|Enhancing hygroscopic capacities of metakaolin based porous insulating geopolymers|EXCLUDE-EC3
SD306|ScienceDirect|2022|Journal of Petroleum Science and Engineering|Application of non-parametric statistical methods to predict pumpability of geopolymers for well cementing|EXCLUDE-EC3
SD307|ScienceDirect|2025|Applied Soft Computing|Development and optimization of geopolymer concrete with compressive strength prediction using particle swarm-optimized extreme gradient boosting|INCLUDE
SD308|ScienceDirect|2023|Environmental Research|Novel modeling and optimization framework for Navy Blue adsorption onto eco-friendly magnetic geopolymer composite|EXCLUDE-EC5
SD309|ScienceDirect|2023|Materials Today: Proceedings|Prediction of compressive strength fiber-reinforced geopolymer concrete (FRGC) using gene expression programming (GEP)|EXCLUDE-EC4
SD310|ScienceDirect|2022|Journal of Cleaner Production|A generic framework for augmented concrete mix design: Optimisation of geopolymer concrete considering environmental, financial and mechanical properties|INCLUDE
SD311|ScienceDirect|2026|Next Materials|Cross-dataset stability assessment of a fixed-configuration CatBoost model across heterogeneous civil engineering material datasets|INCLUDE
SD312|ScienceDirect|2023|Construction and Building Materials|Efficient machine learning algorithm with enhanced cat swarm optimization for prediction of compressive strength of GGBS-based geopolymer concrete at elevated temperature|INCLUDE
SD313|ScienceDirect|2022|Materials Today: Proceedings|Statistical analysis of fly ash and slag blended geopolymer concrete|EXCLUDE-EC4
SD314|ScienceDirect|2022|Construction and Building Materials|A novel Bayesian inference method for predicting optimum strength gain in sustainable geomaterials for greener construction|INCLUDE
SD315|ScienceDirect|2025|Nanoscale Advances|Activation energy of aluminate dissolution in metakaolin: MLFF-accelerated DFT study of vdW and hydration shell effects|INCLUDE
SD316|ScienceDirect|2026|Separation and Purification Technology|3D printed adsorbents for water and wastewater treatment: A critical review|EXCLUDE-EC5
SD317|ScienceDirect|2023|Engineering Fracture Mechanics|Fracture toughness evaluation of ground granulated blast furnace slag concrete using experimental study and machine learning techniques|INCLUDE-FT
SD318|ScienceDirect|2022|Construction and Building Materials|Investigation of geopolymer-based ultra-high performance concrete slabs against contact explosions|EXCLUDE-EC3
SD319|ScienceDirect|2024|Construction and Building Materials|A study of fine-scale low-temperature cracking in geopolymer grouted porous asphalt mixtures based on real aggregate profile modeling|EXCLUDE-EC3
SD320|ScienceDirect|2022|Journal of Cleaner Production|Rapid identification of reactivity for the efficient recycling of coal fly ash: Hybrid machine learning modeling and interpretation|INCLUDE
SP1|SpringerLink|2026|Scientific Reports|Comparative evaluation of machine learning and deep learning approaches for compressive strength prediction of geopolymer concrete|INCLUDE
SP2|SpringerLink|2026|Asian Journal of Civil Engineering|Utilizing long short-term memory deep learning models to predict the compressive strength of geopolymer concrete|INCLUDE
SP3|SpringerLink|2026|ENGINEERING Structure and Civil Engineering|Explainable machine learning for predicting the mechanical strength of eco-friendly geopolymer concrete|INCLUDE
SP4|SpringerLink|2026|Iranian J Science and Technology Trans Civil Eng|Experimental Insights and Machine Learning Prediction of Molarity and Temperature Effects on Geopolymer Concrete|INCLUDE
SP5|SpringerLink|2025|Scientific Reports|Compressive strength modelling of cenosphere and copper slag-based geopolymer concrete using deep learning model|INCLUDE
SP6|SpringerLink|2025|Asian Journal of Civil Engineering|Interpretable GA-PSO-optimised deep learning for multi-objective geopolymer concrete strength prediction|INCLUDE
SP7|SpringerLink|2026|Asian Journal of Civil Engineering|Performance evaluation and machine learning modeling of geopolymer fly ash masonry bricks|INCLUDE
SP8|SpringerLink|2025|Materials Circular Economy|ML Model to Predict the Compressive Strength of Geopolymer Mortar Modified with Palm Oil Fuel Ash|INCLUDE
SP9|SpringerLink|2026|Journal of Building Pathology and Rehabilitation|A hybrid metaheuristic-machine learning framework for high-fidelity prediction of geopolymer concrete compressive strength|INCLUDE
SP10|SpringerLink|2025|Asian Journal of Civil Engineering|Prediction of compressive strength of geopolymer concrete using optimised machine learning algorithms|INCLUDE
SP11|SpringerLink|2026|ENGINEERING Structure and Civil Engineering|Strengthening mechanisms and machine learning prediction of fiber-reinforced geopolymer composites|INCLUDE
SP12|SpringerLink|2025|Scientific Reports|Comparison of deep LSTM and machine learning models for predicting compressive strength of fly ash/slag-based geopolymer concrete|INCLUDE
SP13|SpringerLink|2024|Frontiers of Structural and Civil Engineering|Machine learning based models for predicting compressive strength of geopolymer concrete|INCLUDE
SP14|SpringerLink|2026|Innovative Infrastructure Solutions|Experimental investigation with machine learning validation on the mechanical strength of natural fiber reinforced geopolymer concrete|INCLUDE
SP15|SpringerLink|2025|Scientific Reports|Machine learning based optimization of fly ash content for improving geopolymer concrete compressive strength|INCLUDE
SP16|SpringerLink|2024|Innovative Infrastructure Solutions|Predicting compressive strength of geopolymer concrete using machine learning models|INCLUDE
SP17|SpringerLink|2025|Asian Journal of Civil Engineering|Experimental insights and hybridized ensemble machine learning validation of fiber reinforced geopolymer concrete strength|INCLUDE
SP18|SpringerLink|2025|Asian Journal of Civil Engineering|Analytical and experimental investigation on strength characteristics of one part geopolymer using machine learning models|INCLUDE
SP19|SpringerLink|2026|Scientific Reports|Evaluate the compressive strength of fiber-reinforced geopolymer concrete incorporating GGBS with machine learning approach|INCLUDE
SP20|SpringerLink|2025|Asian Journal of Civil Engineering|Comparative study on the mechanical properties of geopolymer concrete containing GGBS and fly ash using experimental analysis and ANN|INCLUDE
CR1|Crossref|2025|ACI Materials Journal|Predicting Geopolymer Ultra-High-Performance Concrete Strength Using Machine Learning (10.14359/51747873)|INCLUDE
CR2|Crossref|2024|SSRN|Structural Behavior of Sustainable Ternary Geopolymer Concrete and Strength Prediction using ML|EXCLUDE-EC1
CR3|Crossref|2022|SSRN|Compressive Strength Analysis of Fly Ash-Based Geopolymer Concrete Using ML|EXCLUDE-EC1
CR4|Crossref|2022|SSRN|Compressive Strength Analysis of Fly Ash-Based Geopolymer Concrete Using ML (duplicate SSRN record)|EXCLUDE-EC1
CR5|Crossref|2026|Scientific Reports|Comparative evaluation of machine learning and deep learning approaches (10.1038/s41598-026-50705-w)|DUPLICATE-SP1
CR6|Crossref|2022|Results in Materials|Compressive strength analysis of fly ash-based geopolymer concrete using ML (10.1016/j.rinma.2022.100347)|DUPLICATE-SD151
CR7|Crossref|2024|Innovative Infrastructure Solutions|Predicting compressive strength of geopolymer concrete using ML models (10.1007/s41062-024-01832-8)|DUPLICATE-SP16
CR8|Crossref|2022|Materials|Application of Machine Learning Approaches to Predict the Strength Property of Geopolymer Concrete (10.3390/ma15072400)|INCLUDE
CR9|Crossref|2026|Materials|Interpretable Machine Learning for One-Part Fly-Ash/Slag Geopolymer Strength Prediction (10.3390/ma19153347)|INCLUDE
CR10|Crossref|2023|Innovation and Emerging Technologies|Predicting compressive strength of geopolymer concrete using machine learning (10.1142/s2737599423500032)|INCLUDE-FT
CR11|Crossref|2021|Structural Concrete|Prediction of compressive strength of geopolymer concrete using machine learning techniques (10.1002/suco.202100354)|INCLUDE
CR12|Crossref|2024|Educational Administration Theory and Practices|Evaluation Of Strength Properties Of Geopolymer Concrete By Using AI and ML (10.53555/kuey.v30i5.3887)|EXCLUDE-EC1
CR13|Crossref|2026|Scientific Reports|Predicting unconfined compressive strength of geopolymer-stabilized clays using a sector fruit fly-based extreme learning machine (10.1038/s41598-026-47208-z)|INCLUDE
CR14|Crossref|2026|Materia (Rio de Janeiro)|Performance prediction of sustainable geopolymer concrete incorporating biochar and nano-cellulose using ML (10.1590/1517-7076-rmat-2025-0692)|INCLUDE
CR15|Crossref|2025|Structures|Interpretable ML approach with GUI for slag-based geopolymer concrete (10.1016/j.istruc.2025.110281)|DUPLICATE-SD276
CR16|Crossref|2025|Applied Soft Computing|Machine learning-driven evaluation of carbon emissions in geopolymer concrete (10.1016/j.asoc.2025.114017)|DUPLICATE-SD265
CR17|Crossref|2022|Journal of Cleaner Production|Evaluation of geopolymer concrete at high temperatures (10.1016/j.jclepro.2022.133608)|DUPLICATE-SD137
CR18|Crossref|2026|Applications in Engineering Science|ML-based prediction of geopolymer concrete CS using boosting and SVR (10.1016/j.apples.2026.100307)|DUPLICATE-SD227
CR19|Crossref|2026|Materials Today Communications|Toward a glass-box framework (10.1016/j.mtcomm.2026.114833)|DUPLICATE-SD228
CR20|Crossref|2024|Evergreen|Predicting Compressive Strength and Density of Ecuadorian Natural Mordenite-Based Geopolymer Using ML (10.5109/7326955)|INCLUDE
CR21|Crossref|2026|Scientific Reports|Mechanical and durability performance prediction of geopolymer incorporating ferrosilicon slag and aluminum powder (10.1038/s41598-025-32654-y)|INCLUDE
CR22|Crossref|2024|Transportation Infrastructure Geotechnology|Predictive Modeling of Geopolymer Concrete Properties Incorporating Phosphogypsum and Slag (10.1007/s40515-024-00435-1)|INCLUDE
CR23|Crossref|2026|Rocznik Ochrona Srodowiska|Data-Driven Prediction of CO2 Emissions in Low-Carbon Geopolymer Concrete (10.54740/ros.2026.024)|INCLUDE
CR24|Crossref|2022|Buildings|Predicting the Geopolymerization Process of Fly-Ash-Based Geopolymer Using ML (10.3390/buildings12111792)|INCLUDE
CR25|Crossref|2022|Construction and Building Materials|Analyzing the mechanical performance of fly ash-based geopolymer concrete (10.1016/j.conbuildmat.2021.125785)|DUPLICATE-SD178
CR26|Crossref|2021|Polymers|Prediction of Geopolymer Concrete Compressive Strength Using Novel Machine Learning Algorithms (10.3390/polym13193389)|INCLUDE
CR27|Crossref|2026|Powder Technology|Explainable ML prediction of CS in ternary industrial waste-based geopolymer grouting (10.1016/j.powtec.2025.122082)|DUPLICATE-SD122
CR28|Crossref|2026|Journal of Materials & Construction|AI-Based prediction of fine-aggregate geopolymer concrete strength (10.54772/jomc.v16i01.1183)|EXCLUDE-EC7
CR29|Crossref|2025|Cleaner Engineering and Technology|ML-driven optimization for predicting CS in fly ash geopolymer concrete (10.1016/j.clet.2025.100899)|DUPLICATE-SD246
CR30|Crossref|2025|Structures|Frost resistance of steel fiber geopolymer concrete (10.1016/j.istruc.2025.108444)|DUPLICATE-SD245
CR31|Crossref|2024|Buildings|Digital Industrial Design Method in Architectural Design by ML Optimization: Towards Sustainable Construction Practices of Geopolymer Concrete (10.3390/buildings14123998)|INCLUDE
CR32|Crossref|2021|Cement and Concrete Composites|Predicting the geopolymerization process using deep LSTM (10.1016/j.cemconcomp.2021.104177)|DUPLICATE-SD287
CR33|Crossref|2025|Results in Materials|Prediction and optimization of strength and CO2 emission (10.1016/j.rinma.2025.100791)|DUPLICATE-SD262
CR34|Crossref|2024|Journal of Building Engineering|Machine learning guided iterative mix design of geopolymer concrete (10.1016/j.jobe.2024.109710)|DUPLICATE-SD277
